epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.1563,1.05413,0.53537,1.32022,0.99147,1,0.995,0.77437,0.96983,0.35161,1.35128,1.25e-05,1.25e-05,1.25e-05
2,1.69735,0.90356,0.58961,1.14614,0.98925,1,0.995,0.78156,0.95964,0.33952,1.32993,3.73144e-05,3.73144e-05,3.73144e-05
3,2.39623,0.94876,0.54408,1.20247,0.98372,1,0.995,0.78331,0.94356,0.33255,1.29979,6.18813e-05,6.18813e-05,6.18813e-05
4,3.0921,1.12857,0.46496,1.48315,0.97741,1,0.995,0.79281,0.87046,0.32508,1.18554,8.62006e-05,8.62006e-05,8.62006e-05
5,3.78585,0.8897,0.40956,1.09801,0.96673,0.99,0.995,0.82628,0.78207,0.34629,1.06153,0.000110272,0.000110272,0.000110272
6,4.60424,0.7708,0.39074,0.97309,0.97664,0.99218,0.995,0.86614,0.65872,0.31408,0.96598,0.000134097,0.000134097,0.000134097
7,5.31352,0.68945,0.38565,0.94789,0.99164,1,0.995,0.87683,0.57462,0.2742,0.91789,0.000157674,0.000157674,0.000157674
8,5.99799,0.65771,0.33764,0.93554,0.99185,1,0.995,0.88453,0.53306,0.25463,0.89501,0.000181003,0.000181003,0.000181003
9,6.66937,0.67928,0.38733,1.00181,0.99152,1,0.995,0.8922,0.53732,0.24887,0.89353,0.000204085,0.000204085,0.000204085
10,7.34849,0.65532,0.31774,0.95266,0.99027,1,0.995,0.87918,0.56759,0.25644,0.89903,0.000226919,0.000226919,0.000226919
11,7.98503,0.60436,0.40994,0.92915,0.99067,1,0.995,0.8786,0.59239,0.25135,0.90666,0.000249506,0.000249506,0.000249506
12,8.61307,0.65856,0.34956,0.86755,0.99095,1,0.995,0.87703,0.5973,0.25939,0.9112,0.000271846,0.000271846,0.000271846
13,9.23196,0.632,0.30864,0.88741,0.99051,1,0.995,0.88331,0.58381,0.25171,0.90866,0.000293937,0.000293937,0.000293937
14,9.86313,0.63317,0.34148,0.89914,0.99135,1,0.995,0.87731,0.57196,0.25955,0.90836,0.000315782,0.000315782,0.000315782
15,10.4913,0.59676,0.33602,0.90614,0.99236,1,0.995,0.87565,0.57285,0.26203,0.90863,0.000337379,0.000337379,0.000337379
16,11.3032,0.60872,0.34378,0.93702,0.99254,1,0.995,0.87774,0.57081,0.26396,0.90748,0.000358728,0.000358728,0.000358728
17,11.9248,0.66618,0.32339,0.97925,0.99402,1,0.995,0.88686,0.57807,0.26138,0.90842,0.00037983,0.00037983,0.00037983
18,12.5466,0.60459,0.33046,0.90124,0.99427,1,0.995,0.8759,0.59589,0.2791,0.91075,0.000400684,0.000400684,0.000400684
19,13.1753,0.60595,0.33699,0.8807,0.99186,1,0.995,0.87693,0.59656,0.27818,0.9075,0.000421291,0.000421291,0.000421291
20,13.7859,0.63881,0.32497,0.87703,0.98961,1,0.995,0.87748,0.58382,0.26834,0.90372,0.000441651,0.000441651,0.000441651
21,14.3946,0.5664,0.29885,0.87128,0.9893,1,0.995,0.88843,0.56232,0.26362,0.8998,0.000461763,0.000461763,0.000461763
22,15.0121,0.59185,0.31486,0.91405,0.9886,1,0.995,0.88409,0.5584,0.2638,0.90481,0.000481627,0.000481627,0.000481627
23,15.6224,0.57953,0.33945,0.91393,0.98913,1,0.995,0.86708,0.57666,0.26476,0.91969,0.000501244,0.000501244,0.000501244
24,16.2414,0.54825,0.31093,0.88582,0.99068,1,0.995,0.86281,0.59458,0.27988,0.9311,0.000520613,0.000520613,0.000520613
25,16.8615,0.57829,0.32322,0.90361,0.988,1,0.995,0.86031,0.60323,0.28054,0.93529,0.000539735,0.000539735,0.000539735
26,17.4878,0.57067,0.31623,0.92464,0.98581,1,0.995,0.86401,0.60639,0.28584,0.93594,0.000558609,0.000558609,0.000558609
27,18.2316,0.59435,0.36817,0.91021,0.98603,1,0.995,0.87192,0.59425,0.28677,0.92909,0.000577236,0.000577236,0.000577236
28,18.8408,0.5228,0.32144,0.89669,0.98603,1,0.995,0.87192,0.59425,0.28677,0.92909,0.000595616,0.000595616,0.000595616
29,19.5005,0.60948,0.3601,0.90903,0.98812,1,0.995,0.87859,0.56779,0.27281,0.91625,0.000613747,0.000613747,0.000613747
30,20.1464,0.61618,0.36503,0.95549,0.98949,1,0.995,0.88005,0.56444,0.28184,0.91122,0.000631632,0.000631632,0.000631632
31,20.7926,0.53491,0.33538,0.87482,0.98949,1,0.995,0.88005,0.56444,0.28184,0.91122,0.000649269,0.000649269,0.000649269
32,21.4272,0.56701,0.33919,0.90216,0.98557,1,0.995,0.8784,0.58045,0.29499,0.91789,0.000666658,0.000666658,0.000666658
33,22.0618,0.55817,0.31263,0.89958,0.98537,1,0.995,0.85041,0.64008,0.2855,0.94212,0.0006838,0.0006838,0.0006838
34,22.6734,0.61661,0.37611,0.91522,0.98537,1,0.995,0.85041,0.64008,0.2855,0.94212,0.000700694,0.000700694,0.000700694
35,23.2858,0.60538,0.35046,0.87755,0.9926,1,0.995,0.85302,0.64446,0.29032,0.93884,0.000717341,0.000717341,0.000717341
36,23.9045,0.53853,0.32269,0.88542,0.99421,1,0.995,0.86432,0.61188,0.31072,0.92204,0.000733741,0.000733741,0.000733741
37,24.5276,0.5362,0.32276,0.88142,0.99421,1,0.995,0.86432,0.61188,0.31072,0.92204,0.000749893,0.000749893,0.000749893
38,25.4326,0.58445,0.33065,0.91624,0.99045,1,0.995,0.86974,0.60125,0.31335,0.92098,0.000765797,0.000765797,0.000765797
39,26.0607,0.52589,0.31456,0.89992,0.98913,1,0.995,0.87476,0.59904,0.31411,0.92307,0.000781454,0.000781454,0.000781454
40,26.6705,0.57324,0.33818,0.89606,0.98913,1,0.995,0.87476,0.59904,0.31411,0.92307,0.000796863,0.000796863,0.000796863
41,27.2937,0.55581,0.31103,0.90467,0.98877,1,0.995,0.88186,0.58636,0.29884,0.91714,0.000812025,0.000812025,0.000812025
42,27.9368,0.54134,0.33061,0.87109,0.99005,1,0.995,0.87781,0.58551,0.28684,0.91636,0.000826939,0.000826939,0.000826939
43,28.5469,0.53414,0.35071,0.88306,0.99005,1,0.995,0.87781,0.58551,0.28684,0.91636,0.000841606,0.000841606,0.000841606
44,29.169,0.53048,0.32947,0.89551,0.99172,1,0.995,0.87455,0.57457,0.28555,0.91407,0.000856026,0.000856026,0.000856026
45,29.7859,0.56549,0.36378,0.92592,0.99172,1,0.995,0.87455,0.57457,0.28555,0.91407,0.000870198,0.000870198,0.000870198
46,30.4241,0.52654,0.35313,0.89843,0.99083,1,0.995,0.8675,0.58888,0.29777,0.91572,0.000884122,0.000884122,0.000884122
47,31.0629,0.47945,0.2914,0.85822,0.99083,1,0.995,0.8675,0.58888,0.29777,0.91572,0.000897799,0.000897799,0.000897799
48,31.8145,0.48167,0.3031,0.85119,0.98735,1,0.995,0.86118,0.62461,0.3066,0.93116,0.000911228,0.000911228,0.000911228
49,32.4141,0.54558,0.3482,0.88823,0.98735,1,0.995,0.86118,0.62461,0.3066,0.93116,0.00092441,0.00092441,0.00092441
50,33.0272,0.57456,0.33119,0.89679,0.98734,1,0.995,0.85501,0.62654,0.32692,0.94479,0.000937344,0.000937344,0.000937344
51,33.6497,0.52163,0.33895,0.89935,0.98734,1,0.995,0.85501,0.62654,0.32692,0.94479,0.000940625,0.000940625,0.000940625
52,34.2637,0.55893,0.3395,0.87655,0.98335,1,0.995,0.86084,0.61409,0.3368,0.94872,0.000934438,0.000934438,0.000934438
53,34.8658,0.54869,0.33272,0.87301,0.98335,1,0.995,0.86084,0.61409,0.3368,0.94872,0.00092825,0.00092825,0.00092825
54,35.4871,0.55167,0.32256,0.91759,0.97449,1,0.995,0.86915,0.60369,0.33362,0.94892,0.000922063,0.000922063,0.000922063
55,36.0808,0.556,0.35313,0.88241,0.97449,1,0.995,0.86915,0.60369,0.33362,0.94892,0.000915875,0.000915875,0.000915875
56,36.69,0.55949,0.33548,0.88296,0.96552,0.99407,0.995,0.88151,0.57504,0.32956,0.92857,0.000909688,0.000909688,0.000909688
57,37.2923,0.53611,0.35691,0.88722,0.96552,0.99407,0.995,0.88151,0.57504,0.32956,0.92857,0.0009035,0.0009035,0.0009035
58,38.0656,0.53543,0.3498,0.90158,0.99009,1,0.995,0.86512,0.59431,0.29766,0.93022,0.000897313,0.000897313,0.000897313
59,38.6747,0.55703,0.33034,0.94645,0.99009,1,0.995,0.86512,0.59431,0.29766,0.93022,0.000891125,0.000891125,0.000891125
60,39.2914,0.55296,0.34292,0.93001,0.9786,1,0.995,0.85588,0.61126,0.30595,0.93785,0.000884938,0.000884938,0.000884938
61,39.8958,0.526,0.36355,0.87462,0.9786,1,0.995,0.85588,0.61126,0.30595,0.93785,0.00087875,0.00087875,0.00087875
62,40.5683,0.54728,0.36413,0.88735,0.95855,0.99767,0.995,0.86744,0.61251,0.33427,0.94059,0.000872563,0.000872563,0.000872563
