epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.29621,1.25123,1.32659,1.24835,0.86022,0.82143,0.86279,0.65753,0.95199,0.88274,1.11992,3.75e-05,3.75e-05,3.75e-05
2,3.3577,1.10598,0.95015,1.23224,0.9793,1,0.995,0.76297,0.90811,0.46647,1.07556,8.73268e-05,8.73268e-05,8.73268e-05
3,4.56599,0.8094,0.43804,1.00312,0.99519,1,0.995,0.79114,0.90926,0.33408,1.06877,0.000136956,0.000136956,0.000136956
4,5.71486,0.64668,0.37724,0.89953,0.99514,1,0.995,0.88154,0.56459,0.26601,0.86377,0.000186386,0.000186386,0.000186386
5,6.84483,0.59933,0.35138,0.89643,0.99578,1,0.995,0.88614,0.53455,0.26776,0.84333,0.000235619,0.000235619,0.000235619
6,7.96046,0.56843,0.33041,0.8922,0.99379,1,0.995,0.87704,0.55307,0.27867,0.84816,0.000284654,0.000284654,0.000284654
7,9.03206,0.55207,0.32732,0.87054,0.994,1,0.995,0.87221,0.57823,0.28323,0.85658,0.00033349,0.00033349,0.00033349
8,10.1039,0.56447,0.32747,0.89797,0.99656,1,0.995,0.88582,0.5593,0.26645,0.84363,0.000382129,0.000382129,0.000382129
9,11.2006,0.59268,0.34302,0.90052,0.99691,1,0.995,0.89508,0.52764,0.27164,0.82841,0.00043057,0.00043057,0.00043057
10,12.3157,0.56931,0.34257,0.89711,0.99652,1,0.995,0.88564,0.54766,0.2665,0.83723,0.000478813,0.000478813,0.000478813
11,13.394,0.53941,0.32557,0.87842,0.99615,1,0.995,0.88628,0.5438,0.26719,0.8407,0.000526857,0.000526857,0.000526857
12,14.7099,0.55877,0.35002,0.87524,0.99579,1,0.995,0.89517,0.53619,0.27274,0.83169,0.000574704,0.000574704,0.000574704
13,15.8394,0.55432,0.33127,0.88249,0.99563,1,0.995,0.89655,0.52545,0.27221,0.82854,0.000622353,0.000622353,0.000622353
14,16.9683,0.54294,0.33597,0.86985,0.99542,1,0.995,0.88023,0.52009,0.27579,0.82566,0.000669804,0.000669804,0.000669804
15,18.0807,0.53982,0.33209,0.88958,0.99584,1,0.995,0.87946,0.52581,0.29333,0.83409,0.000717056,0.000717056,0.000717056
16,19.1685,0.53656,0.3481,0.88789,0.99667,1,0.995,0.8831,0.51807,0.28557,0.82707,0.000764111,0.000764111,0.000764111
17,20.2249,0.54049,0.34126,0.88925,0.99618,1,0.995,0.89291,0.50772,0.27976,0.81963,0.000810968,0.000810968,0.000810968
18,21.3098,0.54305,0.33927,0.8892,0.99622,1,0.995,0.89659,0.50918,0.28745,0.82388,0.000857627,0.000857627,0.000857627
19,22.4019,0.57418,0.36483,0.9105,0.99598,1,0.995,0.89589,0.50471,0.2867,0.8246,0.000904088,0.000904088,0.000904088
20,23.4617,0.50541,0.33005,0.8757,0.99433,1,0.995,0.89794,0.51701,0.29265,0.8282,0.00095035,0.00095035,0.00095035
21,24.5641,0.52471,0.32651,0.86921,0.99418,1,0.995,0.87609,0.54136,0.31516,0.82906,0.000996415,0.000996415,0.000996415
22,25.6189,0.53291,0.32888,0.88709,0.99564,1,0.995,0.87613,0.54912,0.29339,0.8363,0.00104228,0.00104228,0.00104228
23,26.8506,0.50554,0.33792,0.85396,0.99652,1,0.995,0.88384,0.5472,0.28005,0.83834,0.00108795,0.00108795,0.00108795
24,27.9128,0.53362,0.34968,0.89613,0.99555,1,0.995,0.89256,0.52159,0.27911,0.82443,0.00113342,0.00113342,0.00113342
25,28.9656,0.5349,0.33535,0.88037,0.99465,1,0.995,0.90228,0.51674,0.27943,0.82281,0.00117869,0.00117869,0.00117869
26,30.0633,0.53561,0.33974,0.89223,0.99649,1,0.995,0.89145,0.53323,0.27605,0.83304,0.00118812,0.00118812,0.00118812
27,31.1048,0.53285,0.34354,0.86517,0.9616,1,0.995,0.89768,0.55124,0.32205,0.83825,0.00118565,0.00118565,0.00118565
28,32.1628,0.52527,0.32908,0.86243,0.95143,1,0.995,0.88835,0.55301,0.34946,0.83328,0.00118317,0.00118317,0.00118317
29,33.2147,0.54039,0.34786,0.87746,0.9874,1,0.995,0.89248,0.53243,0.30385,0.83208,0.0011807,0.0011807,0.0011807
30,34.2806,0.55533,0.36653,0.88648,0.98901,1,0.995,0.88269,0.53441,0.28538,0.84286,0.00117822,0.00117822,0.00117822
31,35.347,0.4973,0.32178,0.86073,0.99125,1,0.995,0.89129,0.53369,0.30118,0.8437,0.00117575,0.00117575,0.00117575
32,36.452,0.54666,0.35519,0.88183,0.99579,1,0.995,0.89255,0.53398,0.33897,0.84047,0.00117327,0.00117327,0.00117327
33,37.515,0.52248,0.33759,0.88412,0.99598,1,0.995,0.89519,0.53375,0.29833,0.83741,0.0011708,0.0011708,0.0011708
34,38.7426,0.51128,0.31159,0.89265,0.99638,1,0.995,0.88038,0.54819,0.26909,0.84651,0.00116833,0.00116833,0.00116833
35,39.7924,0.53311,0.33285,0.90114,0.99625,1,0.995,0.89047,0.54674,0.25575,0.84122,0.00116585,0.00116585,0.00116585
36,40.853,0.50481,0.33736,0.89303,0.99564,1,0.995,0.89467,0.53073,0.27103,0.82915,0.00116337,0.00116337,0.00116337
37,41.9148,0.55364,0.34626,0.89977,0.99595,1,0.995,0.89551,0.52674,0.28557,0.82992,0.0011609,0.0011609,0.0011609
38,42.9783,0.50847,0.31531,0.87542,0.99678,1,0.995,0.90353,0.54279,0.26715,0.83278,0.00115843,0.00115843,0.00115843
39,44.1036,0.50922,0.32652,0.86716,0.9968,1,0.995,0.89975,0.53777,0.26542,0.83278,0.00115595,0.00115595,0.00115595
40,45.1775,0.52471,0.31668,0.87683,0.99698,1,0.995,0.8996,0.53109,0.26159,0.82958,0.00115348,0.00115348,0.00115348
41,46.2441,0.48542,0.30683,0.88312,0.99682,1,0.995,0.90802,0.53386,0.2668,0.82857,0.001151,0.001151,0.001151
42,47.3657,0.51819,0.33742,0.90255,0.99675,1,0.995,0.88393,0.55106,0.27006,0.83881,0.00114853,0.00114853,0.00114853
43,48.4106,0.47623,0.3056,0.86762,0.99692,1,0.995,0.89438,0.5656,0.27422,0.84874,0.00114605,0.00114605,0.00114605
44,49.4601,0.49178,0.30094,0.87594,0.99717,1,0.995,0.90143,0.54984,0.27591,0.84426,0.00114357,0.00114357,0.00114357
45,50.6735,0.48971,0.29851,0.88131,0.99699,1,0.995,0.88439,0.5683,0.27348,0.85203,0.0011411,0.0011411,0.0011411
46,51.7188,0.52671,0.31338,0.88321,0.99685,1,0.995,0.87691,0.56255,0.25867,0.85506,0.00113863,0.00113863,0.00113863
47,52.7627,0.53525,0.3093,0.88286,0.99692,1,0.995,0.87127,0.55827,0.2751,0.84782,0.00113615,0.00113615,0.00113615
48,53.8143,0.49305,0.29671,0.86774,0.99679,1,0.995,0.87514,0.56919,0.27783,0.85251,0.00113368,0.00113368,0.00113368
49,55.4147,0.51915,0.30892,0.87988,0.99632,1,0.995,0.88136,0.54585,0.26182,0.84333,0.0011312,0.0011312,0.0011312
50,60.0583,0.50155,0.30485,0.84472,0.99701,1,0.995,0.88892,0.53061,0.26099,0.83636,0.00112873,0.00112873,0.00112873
51,61.1114,0.4888,0.29398,0.86211,0.99642,1,0.995,0.88665,0.5232,0.26433,0.83308,0.00112625,0.00112625,0.00112625
52,62.1766,0.51419,0.30872,0.89169,0.99643,1,0.995,0.89206,0.52632,0.24809,0.83615,0.00112378,0.00112378,0.00112378
53,63.2246,0.52769,0.3214,0.92937,0.99595,1,0.995,0.89341,0.52785,0.25511,0.83869,0.0011213,0.0011213,0.0011213
54,64.2753,0.50783,0.31018,0.84989,0.99522,1,0.995,0.88704,0.52079,0.26588,0.84144,0.00111882,0.00111882,0.00111882
55,65.3273,0.50572,0.31234,0.8709,0.99485,1,0.995,0.89278,0.515,0.26988,0.83654,0.00111635,0.00111635,0.00111635
56,66.5769,0.50556,0.3183,0.85672,0.99465,1,0.995,0.91225,0.50305,0.25689,0.82779,0.00111388,0.00111388,0.00111388
57,67.6793,0.48051,0.29821,0.86403,0.99539,1,0.995,0.90838,0.49553,0.2444,0.82345,0.0011114,0.0011114,0.0011114
58,68.7585,0.48481,0.30374,0.89548,0.99638,1,0.995,0.89772,0.50857,0.23929,0.82992,0.00110892,0.00110892,0.00110892
59,69.8418,0.53655,0.31954,0.89899,0.99702,1,0.995,0.89703,0.5074,0.25391,0.82929,0.00110645,0.00110645,0.00110645
60,70.9112,0.46832,0.306,0.86277,0.9965,1,0.995,0.90206,0.50453,0.24989,0.83262,0.00110397,0.00110397,0.00110397
61,71.9877,0.50514,0.30882,0.88049,0.99659,1,0.995,0.90633,0.50455,0.24198,0.83185,0.0011015,0.0011015,0.0011015
62,73.0433,0.50277,0.29885,0.88455,0.99639,1,0.995,0.89838,0.5143,0.24443,0.83252,0.00109903,0.00109903,0.00109903
63,74.1019,0.47865,0.2997,0.87115,0.99637,1,0.995,0.8914,0.53246,0.24798,0.83724,0.00109655,0.00109655,0.00109655
64,75.1681,0.50352,0.30137,0.87457,0.99675,1,0.995,0.89817,0.53485,0.25052,0.83434,0.00109408,0.00109408,0.00109408
65,76.2219,0.46568,0.28314,0.86146,0.99704,1,0.995,0.90374,0.51961,0.23994,0.82913,0.0010916,0.0010916,0.0010916
66,77.3044,0.49597,0.30041,0.8756,0.99643,1,0.995,0.90394,0.50978,0.23874,0.8262,0.00108913,0.00108913,0.00108913
67,78.53,0.51879,0.30511,0.90483,0.99591,1,0.995,0.90038,0.51074,0.25195,0.82662,0.00108665,0.00108665,0.00108665
68,79.581,0.49826,0.30184,0.88194,0.99625,1,0.995,0.88824,0.52351,0.26593,0.83877,0.00108417,0.00108417,0.00108417
69,80.6844,0.48476,0.2822,0.85817,0.99652,1,0.995,0.90133,0.52243,0.25611,0.83824,0.0010817,0.0010817,0.0010817
70,81.752,0.47592,0.2831,0.84608,0.99616,1,0.995,0.89852,0.52197,0.26006,0.83383,0.00107923,0.00107923,0.00107923
71,82.8157,0.48981,0.29548,0.89131,0.99549,1,0.995,0.90226,0.50716,0.25448,0.82665,0.00107675,0.00107675,0.00107675
72,83.8706,0.50063,0.29189,0.86855,0.9951,1,0.995,0.89245,0.50359,0.25199,0.82464,0.00107427,0.00107427,0.00107427
73,84.941,0.48841,0.29556,0.88376,0.996,1,0.995,0.8976,0.51375,0.25127,0.82935,0.0010718,0.0010718,0.0010718
74,85.9955,0.47807,0.28622,0.85197,0.99695,1,0.995,0.90739,0.51035,0.25059,0.8323,0.00106933,0.00106933,0.00106933
75,87.0637,0.46712,0.28871,0.85786,0.99681,1,0.995,0.90111,0.5178,0.25767,0.83358,0.00106685,0.00106685,0.00106685
76,88.132,0.45095,0.27579,0.86497,0.99617,1,0.995,0.90439,0.51534,0.25058,0.83187,0.00106437,0.00106437,0.00106437
77,89.2046,0.45483,0.27771,0.85712,0.99586,1,0.995,0.91326,0.50576,0.24788,0.82505,0.0010619,0.0010619,0.0010619
78,90.4716,0.46583,0.27945,0.85511,0.99598,1,0.995,0.90449,0.50572,0.25672,0.8257,0.00105942,0.00105942,0.00105942
