epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.70865,2.01392,3.24899,1.77122,0.65715,0.30319,0.22484,0.04929,1.65437,3.51369,1.64384,1.25e-05,1.25e-05,1.25e-05
2,2.36477,2.03777,3.40674,1.71299,0.68563,0.20125,0.31477,0.06854,1.52923,3.34769,1.54897,3.73144e-05,3.73144e-05,3.73144e-05
3,3.02178,1.6104,3.23503,1.41235,0.69705,0.23835,0.2912,0.06598,1.54077,3.28922,1.56034,6.18813e-05,6.18813e-05,6.18813e-05
4,3.64663,1.53534,3.02635,1.47524,0.27043,0.66818,0.37711,0.20087,1.13735,2.41948,1.20862,8.62006e-05,8.62006e-05,8.62006e-05
5,4.33893,1.07356,2.06723,1.10511,0.44657,0.59829,0.35737,0.27805,0.78289,3.11627,0.9858,0.000110272,0.000110272,0.000110272
6,5.00011,0.90883,1.78939,1.01774,0.28374,0.74209,0.47652,0.38677,0.67262,2.44514,0.96605,0.000134097,0.000134097,0.000134097
7,5.70387,0.77802,1.4731,1.008,0.35491,0.49499,0.46816,0.37172,0.71552,2.2158,0.97833,0.000157674,0.000157674,0.000157674
8,6.34177,0.7013,1.22524,0.94002,0.50993,0.6148,0.6557,0.54525,0.64833,1.5574,0.92848,0.000181003,0.000181003,0.000181003
9,7.13216,0.72165,1.16112,0.98732,0.60723,0.83107,0.75762,0.63761,0.61691,1.51567,0.91596,0.000204085,0.000204085,0.000204085
10,7.78888,0.69413,0.91402,0.94947,0.69932,0.88568,0.83637,0.71905,0.61859,1.82956,0.91385,0.000226919,0.000226919,0.000226919
11,8.44521,0.68151,0.95921,0.95568,0.74987,0.80771,0.91621,0.77127,0.63022,1.54097,0.91769,0.000249506,0.000249506,0.000249506
12,9.09269,0.71918,0.81538,0.87918,0.77924,0.84517,0.90488,0.75622,0.65489,1.45735,0.92703,0.000271846,0.000271846,0.000271846
13,9.69178,0.69144,0.74049,0.90487,0.73644,0.89344,0.93437,0.77797,0.66017,1.16836,0.92766,0.000293937,0.000293937,0.000293937
14,10.3518,0.71067,0.66663,0.91192,0.84261,0.94968,0.96461,0.83332,0.63254,0.8497,0.91302,0.000315782,0.000315782,0.000315782
15,11.0036,0.68858,0.71236,0.92986,0.92017,0.85873,0.9696,0.84171,0.59995,0.81164,0.89687,0.000337379,0.000337379,0.000337379
16,11.6387,0.66365,0.70924,0.9396,0.95327,0.8406,0.97337,0.83666,0.61699,0.83489,0.90035,0.000358728,0.000358728,0.000358728
17,12.2477,0.70017,0.59888,0.96233,0.91158,0.92348,0.9831,0.83166,0.63755,0.68938,0.91145,0.00037983,0.00037983,0.00037983
18,12.8517,0.66946,0.57801,0.91069,0.87413,0.99448,0.9831,0.83054,0.65268,0.65466,0.91664,0.000400684,0.000400684,0.000400684
19,13.4557,0.64836,0.61406,0.88588,0.93588,0.92608,0.9886,0.84666,0.63406,0.71289,0.91729,0.000421291,0.000421291,0.000421291
20,14.0949,0.73026,0.62124,0.92128,0.89728,0.95803,0.97622,0.83076,0.63095,0.64466,0.91396,0.000441651,0.000441651,0.000441651
21,14.8216,0.60773,0.52498,0.88139,0.94261,0.71375,0.90883,0.78331,0.6273,0.87474,0.93903,0.000461763,0.000461763,0.000461763
22,15.4508,0.66332,0.54739,0.9183,0.92977,0.75494,0.95419,0.81168,0.67034,0.77026,0.94533,0.000481627,0.000481627,0.000481627
23,16.0856,0.64095,0.55921,0.92269,0.85744,0.80401,0.95222,0.80489,0.67833,0.87686,0.9331,0.000501244,0.000501244,0.000501244
24,16.7047,0.6291,0.52869,0.89617,0.76974,0.81118,0.92149,0.77035,0.69205,1.03304,0.93728,0.000520613,0.000520613,0.000520613
25,17.3401,0.63795,0.55687,0.9143,0.8904,0.81406,0.89568,0.75451,0.64506,0.91502,0.91461,0.000539735,0.000539735,0.000539735
26,17.9721,0.61969,0.5267,0.93783,0.87386,0.7944,0.87986,0.73128,0.64879,0.93048,0.91735,0.000558609,0.000558609,0.000558609
27,18.5787,0.6416,0.5453,0.91157,0.84939,0.89569,0.93478,0.77363,0.66851,0.86675,0.92235,0.000577236,0.000577236,0.000577236
28,19.1778,0.60789,0.5252,0.91781,0.84939,0.89569,0.93478,0.77363,0.66851,0.86675,0.92235,0.000595616,0.000595616,0.000595616
29,19.7968,0.71114,0.52358,0.94043,0.93749,0.94192,0.97562,0.8177,0.66828,0.77588,0.91931,0.000613747,0.000613747,0.000613747
30,20.4062,0.64023,0.56993,0.95233,0.94445,0.96526,0.98088,0.81384,0.6589,0.70435,0.91571,0.000631632,0.000631632,0.000631632
31,21.0845,0.61342,0.51217,0.88052,0.94445,0.96526,0.98088,0.81384,0.6589,0.70435,0.91571,0.000649269,0.000649269,0.000649269
