epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.68352,1.07867,0.62885,0.84088,0.99136,0.99815,0.99173,0.78803,0.84795,0.4791,0.814,0.000648148,0.000648148,0.000648148
2,17.9979,0.86253,0.4397,0.82024,0.97547,0.98261,0.9888,0.76889,0.87888,0.64229,0.83005,0.00131221,0.00131221,0.00131221
3,26.3731,0.80816,0.44137,0.80795,0.99175,1,0.9899,0.80065,0.76648,0.53297,0.8026,0.00197363,0.00197363,0.00197363
4,34.4916,0.83074,0.42886,0.8136,0.99084,1,0.98969,0.80676,0.76198,0.47963,0.80181,0.00198812,0.00198812,0.00198812
5,42.6546,0.78286,0.40653,0.8105,0.99135,0.99675,0.99301,0.78889,0.82991,0.49598,0.80463,0.00198416,0.00198416,0.00198416
6,50.7411,0.80168,0.42277,0.80355,0.98272,0.98897,0.9898,0.78827,0.82171,0.52168,0.80917,0.0019802,0.0019802,0.0019802
7,58.8506,0.77563,0.4309,0.79688,0.99386,1,0.99293,0.82003,0.78372,0.45998,0.80712,0.00197624,0.00197624,0.00197624
8,67.2243,0.80096,0.41711,0.80168,0.9937,1,0.99219,0.83127,0.75398,0.41454,0.80503,0.00197228,0.00197228,0.00197228
9,75.357,0.80073,0.41626,0.80227,0.99412,1,0.99133,0.80265,0.78288,0.42591,0.80476,0.00196832,0.00196832,0.00196832
10,83.4722,0.79523,0.4239,0.79908,0.99396,1,0.99172,0.79956,0.7668,0.47167,0.80269,0.00196436,0.00196436,0.00196436
11,91.5866,0.75478,0.38842,0.80606,0.99395,1,0.99022,0.82027,0.7485,0.47113,0.80374,0.0019604,0.0019604,0.0019604
12,99.7794,0.73884,0.38979,0.80045,0.99401,1,0.99395,0.82717,0.701,0.42061,0.80016,0.00195644,0.00195644,0.00195644
13,107.9,0.78086,0.40738,0.80083,0.99424,0.99993,0.99221,0.82527,0.74917,0.43736,0.79996,0.00195248,0.00195248,0.00195248
14,115.99,0.7548,0.40676,0.79625,0.99423,0.99973,0.9922,0.82028,0.7294,0.46505,0.80158,0.00194852,0.00194852,0.00194852
15,124.067,0.75016,0.39848,0.80285,0.99408,1,0.98952,0.83099,0.72003,0.4257,0.80279,0.00194456,0.00194456,0.00194456
16,132.292,0.73454,0.39411,0.79945,0.99394,1,0.98947,0.81645,0.77221,0.46757,0.80508,0.0019406,0.0019406,0.0019406
